Tipo Avión;Familia;Pasillo;;
BOEING (DOUGLAS) DC-10-30/40 FREIGHTER;DC-10;Doble pasillo;;
BOEING 707-320B / 320C PASSENGER;707;Pasillo único;;
BOEING 717;717;Pasillo único;;
BOEING 727-200 (WINGLETS) PASSENGER;727;Pasillo único;;
BOEING 727-200 FREIGHTER;727;Pasillo único;;
BOEING 737 MAX 9 PASSENGER;737;Pasillo único;;
BOEING 737 MIXED CONFIGURATION;737;Pasillo único;;
BOEING 737-300 MIXED CONFIGURATION;737;Pasillo único;;
BOEING 737-300 WINGLETS;737;Pasillo único;;
BOEING 737-400 FREIGHTER;737;Pasillo único;;
BOEING 737-500 (WINGLETS) PASSENGER;737;Pasillo único;;
BOEING 737-700 (WINGLETS) PASSENGER;737;Pasillo único;;
BOEING 737-700 FREIGHTER;737;Pasillo único;;
BOEING 737-700 MIXED CONFIGURATION / BBJ;737;Pasillo único;;
BOEING 737-700 PASSENGER;737;Pasillo único;;
BOEING 737-700 PASSENGER (SCIMITAR WINGL;737;Pasillo único;;
BOEING 737-700 PASSENGERS;737;Pasillo único;;
BOEING 737-800 (SCIMITAR/WINGLETS) PASSE;737;Pasillo único;;
BOEING 737-800 (WINGLETS) PASSENGER;737;Pasillo único;;
BOEING 737-800 FREIGHTER;737;Pasillo único;;
BOEING 737-800 FREIGHTER (SCIMITAR WINGL;737;Pasillo único;;
BOEING 737-800 FREIGHTER (WINGLETS);737;Pasillo único;;
BOEING 737-900 (SCIMITAR WINGLETS) PASSE;737;Pasillo único;;
BOEING 737-900 WINGLETS;737;Pasillo único;;
BOEING 737/800 PASSENGERS;737;Pasillo único;;
BOEING 737/900 PASSENGERS;737;Pasillo único;;
BOEING 747-100 FREIGHTER;747;Doble pasillo;;
BOEING 747-200 FREIGHTER;747;Doble pasillo;;
BOEING 747-300 / 747-200 FREIGHTER;747;Doble pasillo;;
BOEING 747-400 SWINGTAIL FREIGHTER;747;Doble pasillo;;
BOEING 747-8F FREIGTHER;747;Doble pasillo;;
BOEING 747-8I PASSENGER;747;Doble pasillo;;
BOEING 757-200 (WINGLETS) PASSENGER;757;Pasillo único;;
BOEING 757-200 FREIGHTER;757;Pasillo único;;
BOEING 757-200 FREIGHTER (WINGLETS);757;Pasillo único;;
BOEING 757-200 MIXED CONFIGURATION;757;Pasillo único;;
BOEING 757-300 (WINGLETS) PASSENGER;757;Pasillo único;;
BOEING 767-200 FREIGHTER;767;Doble pasillo;;
BOEING 767-300 (WINGLETS) FREIGTHER;767;Doble pasillo;;
BOEING 767-300 FREIGHTER;767;Doble pasillo;;
BOEING 767-300 PASSENGERS WINGLETS;767;Doble pasillo;;
BOEING 767-400 PASSENGERS;767;Doble pasillo;;
BOEING 777 FREIGHTER;777;Doble pasillo;;
BOEING 777-200 / 200ER;777;Doble pasillo;;
BOEING 777-200F FREIGHTER;777;Doble pasillo;;
BOEING 777-200LR;777;Doble pasillo;;
BOEING 777-300 ER;777;Doble pasillo;;
BOEING 787-10;787;Doble pasillo;;
BOEING 787-8;787;Doble pasillo;;
BOEING 787-9;787;Doble pasillo;;
BOEING B-737 FREIGHTER;737;Pasillo único;;
BOEING B707 FREIGHTER;707;Pasillo único;;
BOEING B720 PASSENGERS;720;Pasillo único;;
BOEING B727 FREIGHTER;727;Pasillo único;;
BOEING B727 PASSENGERS;727;Pasillo único;;
BOEING B727/100 PASSENGERS;727;Pasillo único;;
BOEING B727/200 ADV.PASANG;727;Pasillo único;;
BOEING B727/200 PASSENGERS;727;Pasillo único;;
BOEING B737 PASSENGERS;737;Pasillo único;;
BOEING B737-200 FREIGHTER;737;Pasillo único;;
BOEING B737-200 PASSENGERS;737;Pasillo único;;
BOEING B737-300 FREIGHTER;737;Pasillo único;;
BOEING B737-300 PASSENGERS;737;Pasillo único;;
BOEING B737-400 PASSENGERS;737;Pasillo único;;
BOEING B737/200-ADV.PASANG;737;Pasillo único;;
BOEING B737/200-ADV.PASSENGER;737;Pasillo único;;
BOEING B737/500 PASSENGERS;737;Pasillo único;;
BOEING B737/600 PASSENGERS;737;Pasillo único;;
BOEING B747 FREIGHTER;747;Doble pasillo;;
BOEING B747 PASSENGERS;747;Doble pasillo;;
BOEING B747-400 FREIGHTER;747;Doble pasillo;;
BOEING B747/200 MIXED CONFG.;747;Doble pasillo;;
BOEING B747/200 PASSENGERS;747;Doble pasillo;;
BOEING B747/300 PASSENGERS;747;Doble pasillo;;
BOEING B747/400 MIXED CONFG.;747;Doble pasillo;;
BOEING B747/400 PASSENGERS;747;Doble pasillo;;
BOEING B747/SP PASSENGERS;747;Doble pasillo;;
BOEING B747/SR PASSENGERS;747;Doble pasillo;;
BOEING B757 FREIGHTER;757;Pasillo único;;
BOEING B757 PASSENGERS;757;Pasillo único;;
BOEING B757-300 PASSENGERS;757;Pasillo único;;
BOEING B757/200 PASSENGERS;757;Pasillo único;;
BOEING B767 FREIGHTER;767;Doble pasillo;;
BOEING B767 PASSENGERS;767;Doble pasillo;;
BOEING B767/200 PASSENGERS;767;Doble pasillo;;
BOEING B767/300 PASSENGERS;767;Doble pasillo;;
BOEING B777;777;Doble pasillo;;
BOEING B777-300;777;Doble pasillo;;
BOEING GLOBEMASTER - MACDONNELL DOUGLAS;C-17;Pasillo único;;
BOING BBJ 737 MAX 8 PASSENGER;737;Pasillo único;;
