Aeropuerto Base,Año,Pasajeros,latitude_deg,longitude_deg
A CORUÑA,2006,1014500,43.45399,-7.85429
A CORUÑA,2007,1266792,43.45399,-7.85429
A CORUÑA,2008,1174951,43.45399,-7.85429
A CORUÑA,2009,1068818,43.45399,-7.85429
A CORUÑA,2010,1101208,43.45399,-7.85429
A CORUÑA,2011,1012640,43.45399,-7.85429
A CORUÑA,2012,845451,43.45399,-7.85429
A CORUÑA,2013,839835,43.45399,-7.85429
A CORUÑA,2014,989151,43.45399,-7.85429
A CORUÑA,2015,1025676,43.45399,-7.85429
A CORUÑA,2016,1063291,43.45399,-7.85429
A CORUÑA,2017,1141389,43.45399,-7.85429
A CORUÑA,2018,1225746,43.45399,-7.85429
A CORUÑA,2019,1352557,43.45399,-7.85429
A CORUÑA,2020,436746,43.45399,-7.85429
A CORUÑA,2021,594473,43.45399,-7.85429
A CORUÑA,2022,963938,43.45399,-7.85429
A CORUÑA,2023,1252001,43.45399,-7.85429
A CORUÑA,2024,1237309,43.45399,-7.85429
A CORUÑA,2025,1292126,43.45399,-7.85429
ADOLFO SUÁREZ MADRID-BARAJAS,2006,45465247,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2007,51829808,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2008,50526173,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2009,48301999,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2010,49806349,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2011,49572716,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2012,45118880,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2013,39679182,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2014,41776756,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2015,46776427,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2016,50364296,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2017,53356712,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2018,57832497,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2019,61653445,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2020,17073605,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2021,24122970,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2022,50612599,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2023,60202566,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2024,66163911,40.493407,-3.572249
ADOLFO SUÁREZ MADRID-BARAJAS,2025,68104647,40.493407,-3.572249
AEROPUERTO INTL. REGIÓN MURCIA,2019,1090611,37.802852,-1.124884
AEROPUERTO INTL. REGIÓN MURCIA,2020,217239,37.802852,-1.124884
AEROPUERTO INTL. REGIÓN MURCIA,2021,283217,37.802852,-1.124884
AEROPUERTO INTL. REGIÓN MURCIA,2022,838433,37.802852,-1.124884
AEROPUERTO INTL. REGIÓN MURCIA,2023,872400,37.802852,-1.124884
AEROPUERTO INTL. REGIÓN MURCIA,2024,903477,37.802852,-1.124884
AEROPUERTO INTL. REGIÓN MURCIA,2025,948205,37.802852,-1.124884
ALICANTE-ELCHE MIGUEL HDEZ.,2006,8880282,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2007,9106257,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2008,9569074,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2009,9130622,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2010,9376459,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2011,9908031,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2012,8850194,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2013,9634879,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2014,10061646,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2015,10571672,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2016,12341305,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2017,13706515,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2018,13975574,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2019,15042994,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2020,3736931,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2021,5827187,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2022,13193566,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2023,15729985,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2024,18370831,38.2822,-0.558156
ALICANTE-ELCHE MIGUEL HDEZ.,2025,19937256,38.2822,-0.558156
ALMERÍA,2006,1049007,36.843899,-2.3701
ALMERÍA,2007,1203057,36.843899,-2.3701
ALMERÍA,2008,1018331,36.843899,-2.3701
ALMERÍA,2009,784982,36.843899,-2.3701
ALMERÍA,2010,780382,36.843899,-2.3701
ALMERÍA,2011,775390,36.843899,-2.3701
ALMERÍA,2012,737484,36.843899,-2.3701
ALMERÍA,2013,701164,36.843899,-2.3701
ALMERÍA,2014,741938,36.843899,-2.3701
ALMERÍA,2015,690170,36.843899,-2.3701
ALMERÍA,2016,919925,36.843899,-2.3701
ALMERÍA,2017,1007041,36.843899,-2.3701
ALMERÍA,2018,991476,36.843899,-2.3701
ALMERÍA,2019,978221,36.843899,-2.3701
ALMERÍA,2020,200181,36.843899,-2.3701
ALMERÍA,2021,316839,36.843899,-2.3701
ALMERÍA,2022,703308,36.843899,-2.3701
ALMERÍA,2023,774715,36.843899,-2.3701
ALMERÍA,2024,786445,36.843899,-2.3701
ALMERÍA,2025,800936,36.843899,-2.3701
ASTURIAS,2006,1352621,43.563599,-6.03462
ASTURIAS,2007,1560268,43.563599,-6.03462
ASTURIAS,2008,1529459,43.563599,-6.03462
ASTURIAS,2009,1315991,43.563599,-6.03462
ASTURIAS,2010,1354501,43.563599,-6.03462
ASTURIAS,2011,1338831,43.563599,-6.03462
ASTURIAS,2012,1309596,43.563599,-6.03462
ASTURIAS,2013,1039233,43.563599,-6.03462
ASTURIAS,2014,1065115,43.563599,-6.03462
ASTURIAS,2015,1119099,43.563599,-6.03462
ASTURIAS,2016,1281625,43.563599,-6.03462
ASTURIAS,2017,1406312,43.563599,-6.03462
ASTURIAS,2018,1398881,43.563599,-6.03462
ASTURIAS,2019,1416798,43.563599,-6.03462
ASTURIAS,2020,498875,43.563599,-6.03462
ASTURIAS,2021,831080,43.563599,-6.03462
ASTURIAS,2022,1453467,43.563599,-6.03462
ASTURIAS,2023,1973608,43.563599,-6.03462
ASTURIAS,2024,1992475,43.563599,-6.03462
ASTURIAS,2025,2050459,43.563599,-6.03462
BADAJOZ,2006,77248,38.8913,-6.82133
BADAJOZ,2007,91266,38.8913,-6.82133
BADAJOZ,2008,80768,38.8913,-6.82133
BADAJOZ,2009,75127,38.8913,-6.82133
BADAJOZ,2010,60723,38.8913,-6.82133
BADAJOZ,2011,56981,38.8913,-6.82133
BADAJOZ,2012,65437,38.8913,-6.82133
BADAJOZ,2013,28960,38.8913,-6.82133
BADAJOZ,2014,39380,38.8913,-6.82133
BADAJOZ,2015,22293,38.8913,-6.82133
BADAJOZ,2016,32708,38.8913,-6.82133
BADAJOZ,2017,49168,38.8913,-6.82133
BADAJOZ,2018,51923,38.8913,-6.82133
BADAJOZ,2019,75329,38.8913,-6.82133
BADAJOZ,2020,29962,38.8913,-6.82133
BADAJOZ,2021,42147,38.8913,-6.82133
BADAJOZ,2022,65772,38.8913,-6.82133
BADAJOZ,2023,80181,38.8913,-6.82133
BADAJOZ,2024,91179,38.8913,-6.82133
BADAJOZ,2025,107000,38.8913,-6.82133
BARCELONA-EL PRAT J.T.,2006,29843440,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2007,32811887,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2008,30250376,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2009,27415076,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2010,29184048,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2011,34343968,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2012,35103695,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2013,35194768,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2014,37537780,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2015,39696925,41.2971,2.07846
BARCELONA-EL PRAT J.T.,2016,44144117,41.2971,2.07846
