Aeropuerto Base,Año,Grupo Compañía,Pasajeros
A CORUÑA,2006,GRUPO IBERIA,692999
A CORUÑA,2007,GRUPO IBERIA,548946
A CORUÑA,2008,GRUPO IBERIA,506164
A CORUÑA,2009,GRUPO IBERIA,456369
A CORUÑA,2010,GRUPO IBERIA,430377
A CORUÑA,2011,GRUPO IBERIA,401449
A CORUÑA,2012,GRUPO IBERIA,424937
A CORUÑA,2013,"VUELING AIRLINES, S.A.",368798
A CORUÑA,2014,"VUELING AIRLINES, S.A.",431167
A CORUÑA,2015,"VUELING AIRLINES, S.A.",437043
A CORUÑA,2016,"VUELING AIRLINES, S.A.",448641
A CORUÑA,2017,"VUELING AIRLINES, S.A.",483564
A CORUÑA,2018,"VUELING AIRLINES, S.A.",544208
A CORUÑA,2019,"VUELING AIRLINES, S.A.",639221
A CORUÑA,2020,"VUELING AIRLINES, S.A.",192986
A CORUÑA,2021,GRUPO IBERIA,252643
A CORUÑA,2022,GRUPO IBERIA,329410
A CORUÑA,2023,AIR EUROPA,379690
A CORUÑA,2024,AIR EUROPA,416839
A CORUÑA,2025,AIR EUROPA,426617
ADOLFO SUÁREZ MADRID-BARAJAS,2006,GRUPO IBERIA,20364735
ADOLFO SUÁREZ MADRID-BARAJAS,2007,GRUPO IBERIA,24376528
ADOLFO SUÁREZ MADRID-BARAJAS,2008,GRUPO IBERIA,24445698
ADOLFO SUÁREZ MADRID-BARAJAS,2009,GRUPO IBERIA,22796620
ADOLFO SUÁREZ MADRID-BARAJAS,2010,GRUPO IBERIA,22383029
ADOLFO SUÁREZ MADRID-BARAJAS,2011,GRUPO IBERIA,20679354
ADOLFO SUÁREZ MADRID-BARAJAS,2012,GRUPO IBERIA,20135244
ADOLFO SUÁREZ MADRID-BARAJAS,2013,GRUPO IBERIA,16508305
ADOLFO SUÁREZ MADRID-BARAJAS,2014,GRUPO IBERIA,17006153
ADOLFO SUÁREZ MADRID-BARAJAS,2015,GRUPO IBERIA,19368578
ADOLFO SUÁREZ MADRID-BARAJAS,2016,GRUPO IBERIA,21000385
ADOLFO SUÁREZ MADRID-BARAJAS,2017,GRUPO IBERIA,21963389
ADOLFO SUÁREZ MADRID-BARAJAS,2018,GRUPO IBERIA,24293907
ADOLFO SUÁREZ MADRID-BARAJAS,2019,GRUPO IBERIA,26257042
ADOLFO SUÁREZ MADRID-BARAJAS,2020,GRUPO IBERIA,7978924
ADOLFO SUÁREZ MADRID-BARAJAS,2021,GRUPO IBERIA,12517993
ADOLFO SUÁREZ MADRID-BARAJAS,2022,GRUPO IBERIA,23208543
ADOLFO SUÁREZ MADRID-BARAJAS,2023,GRUPO IBERIA,27542877
ADOLFO SUÁREZ MADRID-BARAJAS,2024,GRUPO IBERIA,30016493
ADOLFO SUÁREZ MADRID-BARAJAS,2025,GRUPO IBERIA,29497933
AEROPUERTO INTL. REGIÓN MURCIA,2019,RYANAIR GROUP,627571
AEROPUERTO INTL. REGIÓN MURCIA,2020,RYANAIR GROUP,107627
AEROPUERTO INTL. REGIÓN MURCIA,2021,RYANAIR GROUP,82401
AEROPUERTO INTL. REGIÓN MURCIA,2022,RYANAIR GROUP,439263
AEROPUERTO INTL. REGIÓN MURCIA,2023,RYANAIR GROUP,488959
AEROPUERTO INTL. REGIÓN MURCIA,2024,RYANAIR GROUP,520289
AEROPUERTO INTL. REGIÓN MURCIA,2025,RYANAIR GROUP,574280
ALICANTE-ELCHE MIGUEL HDEZ.,2006,EASYJET,1455317
