Año,Grupo Compañía,Pasillo,Fabricante,Pasajeros
2006,AIR EUROPA,Doble pasillo,Airbus,436118
2006,AIR EUROPA,Doble pasillo,Boeing,594989
2006,AIR EUROPA,Pasillo único,Airbus,11642
2006,AIR EUROPA,Pasillo único,Boeing,14312652
2006,AIR EUROPA,Pasillo único,Otros,10837
2006,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,813
2006,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,5296
2006,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1383795
2006,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,3123143
2006,AIR FRANCE-KLM GROUP,Pasillo único,Otros,497401
2006,AIRBERLIN GROUP,Doble pasillo,Boeing,517
2006,AIRBERLIN GROUP,Pasillo único,Airbus,2143686
2006,AIRBERLIN GROUP,Pasillo único,Boeing,7358573
2006,AIRBERLIN GROUP,Pasillo único,Otros,57488
2006,BINTER CANARIAS,Pasillo único,Airbus,101
2006,BINTER CANARIAS,Pasillo único,Boeing,1227368
2006,BINTER CANARIAS,Pasillo único,Otros,4710385
2006,EASYJET,Doble pasillo,Boeing,2561
2006,EASYJET,Pasillo único,Airbus,5846747
2006,EASYJET,Pasillo único,Boeing,2200241
2006,EASYJET,Pasillo único,Otros,23483
2006,GRUPO IBERIA,Doble pasillo,Airbus,4458034
2006,GRUPO IBERIA,Doble pasillo,Boeing,431409
2006,GRUPO IBERIA,Pasillo único,Airbus,25166408
2006,GRUPO IBERIA,Pasillo único,Boeing,3113577
2006,GRUPO IBERIA,Pasillo único,Otros,9399403
2006,LUFTHANSA GROUP,Doble pasillo,Airbus,145790
2006,LUFTHANSA GROUP,Doble pasillo,Boeing,2608
2006,LUFTHANSA GROUP,Pasillo único,Airbus,2944294
2006,LUFTHANSA GROUP,Pasillo único,Boeing,476260
2006,LUFTHANSA GROUP,Pasillo único,Otros,385004
2006,RYANAIR GROUP,Doble pasillo,Airbus,681
2006,RYANAIR GROUP,Doble pasillo,Boeing,300
2006,RYANAIR GROUP,Pasillo único,Airbus,12999
2006,RYANAIR GROUP,Pasillo único,Boeing,7367768
2006,RYANAIR GROUP,Pasillo único,Otros,775
2006,TUI GROUP,Doble pasillo,Airbus,3574
2006,TUI GROUP,Doble pasillo,Boeing,1119030
2006,TUI GROUP,Pasillo único,Airbus,70689
2006,TUI GROUP,Pasillo único,Boeing,3508462
2006,TUI GROUP,Pasillo único,Otros,32420
2006,"VUELING AIRLINES, S.A.",Doble pasillo,Boeing,500
2006,"VUELING AIRLINES, S.A.",Pasillo único,Airbus,4663216
2006,"VUELING AIRLINES, S.A.",Pasillo único,Boeing,13814
2006,"VUELING AIRLINES, S.A.",Pasillo único,Otros,7194
2007,AIR EUROPA,Doble pasillo,Airbus,666708
2007,AIR EUROPA,Doble pasillo,Boeing,362956
2007,AIR EUROPA,Pasillo único,Airbus,10684
2007,AIR EUROPA,Pasillo único,Boeing,15047644
